task_id,title,summary,assignee_id,status,priority,start_date,end_date,due_date,depends_on
TASK-001,要件ヒアリング,利用部門へのヒアリングを行い課題と要望を整理する,MEM-001,完了,高,2026-03-10,2026-03-12,2026-03-12,
TASK-002,現状業務整理,現行業務フローを棚卸しして問題点を整理する,MEM-001,完了,高,2026-03-13,2026-03-16,2026-03-13,
TASK-003,スコープ確定,ヒアリング結果をもとに対象範囲と除外範囲を確定する,MEM-001,完了,高,2026-03-17,2026-03-18,2026-03-17,TASK-001|TASK-002
TASK-004,WBS作成,開発全体の作業分解とマイルストンを定義する,MEM-001,進行中,高,2026-03-19,2026-03-20,2026-03-19,TASK-003
TASK-006,データ項目整理,業務で扱う主要データ項目と属性を整理する,MEM-003,未着手,高,2026-03-19,2026-03-23,2026-03-21,TASK-003
TASK-005,画面一覧作成,必要な画面一覧と主要な利用シナリオを整理する,MEM-002,進行中,中,2026-03-19,2026-03-23,2026-03-20,TASK-003
TASK-007,API一覧作成,必要な API の責務と入出力の一覧を整理する,MEM-004,未着手,中,2026-03-19,2026-03-23,2026-03-24,TASK-003
TASK-013,開発環境構築,アプリと API の開発環境をセットアップする,MEM-005,未着手,高,2026-03-23,2026-03-24,2026-03-24,TASK-004
TASK-008,権限ロール定義,利用者ロールと操作権限の組み合わせを定義する,MEM-001,未着手,中,2026-03-23,2026-03-24,2026-03-24,TASK-003
TASK-010,DB論理設計,主要テーブルとリレーションを定義する,MEM-003,未着手,高,2026-03-24,2026-03-27,2026-03-27,TASK-006
TASK-011,API設計,主要 API のエンドポイントとデータ契約を設計する,MEM-004,未着手,高,2026-03-24,2026-03-27,2026-03-31,TASK-007
TASK-009,UIワイヤー作成,主要画面のワイヤーフレームを作成する,MEM-002,未着手,中,2026-03-24,2026-03-27,2026-03-31,TASK-005
TASK-012,非機能要件整理,性能と監査と運用の非機能要件を整理する,MEM-001,未着手,中,2026-03-25,2026-03-27,2026-03-27,TASK-003
TASK-015,認証基盤実装,ログインと認可の基盤機能を実装する,MEM-004,未着手,高,2026-03-30,2026-04-01,2026-04-03,TASK-008|TASK-011|TASK-013
TASK-016,ユーザー管理実装,ユーザー CRUD と権限設定機能を実装する,MEM-003,未着手,高,2026-03-30,2026-04-02,2026-04-07,TASK-010|TASK-011|TASK-013
TASK-014,デザインレビュー,ワイヤーフレームをレビューして修正点を確定する,MEM-002,未着手,中,2026-03-30,2026-03-31,2026-04-02,TASK-009
TASK-025,外部連携実装,外部システムとのデータ連携処理を実装する,MEM-005,未着手,低,2026-03-30,2026-04-02,2026-04-23,TASK-011|TASK-013
TASK-017,案件一覧実装,案件一覧画面と検索条件の基本表示を実装する,MEM-002,未着手,高,2026-04-01,2026-04-06,2026-04-08,TASK-009|TASK-010|TASK-011|TASK-013
TASK-021,通知機能実装,メール通知とアプリ内通知の処理を実装する,MEM-004,未着手,中,2026-04-02,2026-04-06,2026-04-16,TASK-011|TASK-015
TASK-023,レポート集計実装,集計 API とレポート表示ロジックを実装する,MEM-003,未着手,中,2026-04-03,2026-04-08,2026-04-22,TASK-010|TASK-011
TASK-018,案件詳細実装,案件詳細画面と編集導線を実装する,MEM-002,未着手,高,2026-04-07,2026-04-13,2026-04-15,TASK-017
TASK-024,権限制御実装,機能ごとの表示制御とアクセス制御を実装する,MEM-004,未着手,高,2026-04-07,2026-04-09,2026-04-17,TASK-015|TASK-016|TASK-017
TASK-019,検索機能実装,案件検索条件と検索 API を実装する,MEM-004,未着手,中,2026-04-10,2026-04-14,2026-04-11,TASK-017|TASK-011
TASK-020,ファイル添付実装,案件へのファイル添付と保存処理を実装する,MEM-003,未着手,中,2026-04-14,2026-04-16,2026-04-18,TASK-018
TASK-022,ダッシュボード実装,主要 KPI を表示するダッシュボードを実装する,MEM-002,未着手,中,2026-04-14,2026-04-17,2026-04-17,TASK-009|TASK-011
TASK-026,結合テスト計画,結合テスト観点とシナリオを整理する,MEM-006,未着手,中,2026-04-20,2026-04-21,2026-04-25,TASK-018|TASK-019|TASK-020|TASK-021|TASK-022|TASK-023|TASK-024|TASK-025
TASK-027,結合テスト,主要シナリオの結合テストと不具合確認を行う,MEM-006,未着手,高,2026-04-22,2026-04-27,2026-05-01,TASK-026
TASK-028,受入準備,利用者説明資料と受入手順を準備する,MEM-006,未着手,中,2026-04-28,2026-04-30,2026-05-07,TASK-027
TASK-029,運用手順書作成,運用手順書と障害対応手順を作成する,MEM-006,未着手,低,2026-05-01,2026-05-05,2026-05-07,TASK-024|TASK-025|TASK-027
TASK-030,リリース判定,残課題を確認して本番リリース可否を判定する,MEM-001,未着手,高,2026-05-06,2026-05-07,2026-05-08,TASK-028|TASK-029
